de,en
"Aus der Antwort der Bundesregierung auf eine Kleine Anfrage zu Übergriffen auf Asylsuchende und ihre Unterkünfte geht hervor, dass die zuständige Polizeidirektion wegen eines Verstoßes gegen das Versammlungsgesetz ermittelt und diesen Vorfall als “politisch motivierte Kriminalität – rechts” einordnet. Weitere Details zum Tathergang gehen aus der Antwort nicht hervor. Aufgrund der Vielzahl von Vorfällen ist es uns nicht möglich, in jedem Fall durch Nachfragen bei den zuständigen Ermittlungsbehörden (oder der zuständigen Staatsanwaltschaft) weitere Einzelheiten in Erfahrung zu bringen. Wir müssen unsere Nachforschungen deshalb in der Regel auf besonders schwerwiegende Vorfälle beschränken, etwa Körperverletzungsdelikte oder Brandanschläge.","The federal government's answer to a minor question on attacks on asylum seekers and their accommodations reveals that the responsible police department is investigating a violation of the Assembly Act and classifies this incident as ""politically motivated crime - right-wing"". Further details on the course of events do not emerge from the answer. Due to the large number of incidents, it is not possible for us to obtain further details in each case by inquiring with the responsible investigating authorities (or the responsible public prosecutor's office). We therefore generally have to limit our inquiries to particularly serious incidents, such as bodily injury offenses or arson attacks."
"Aus der Antwort der Bundesregierung auf eine Kleine Anfrage zu Übergriffen auf Asylsuchende und ihre Unterkünfte geht hervor, dass die zuständige Polizeidirektion wegen Störung des öffentlichen Friedens durch Androhung von Straftaten ermittelt und diesen Vorfall als “politisch motivierte Kriminalität – rechts” einordnet. Weitere Details zum Tathergang gehen aus der Antwort nicht hervor. Aufgrund der Vielzahl von Vorfällen ist es uns nicht möglich, in jedem Fall durch Nachfragen bei den zuständigen Ermittlungsbehörden (oder der zuständigen Staatsanwaltschaft) weitere Einzelheiten in Erfahrung zu bringen. Wir müssen unsere Nachforschungen deshalb in der Regel auf besonders schwerwiegende Vorfälle beschränken, etwa Körperverletzungsdelikte oder Brandanschläge.","The federal government's answer to a minor inquiry on attacks on asylum seekers and their accommodations reveals that the responsible police department is investigating for disturbing the public peace by threatening to commit criminal acts and classifies this incident as ""politically motivated crime - right-wing"". Further details on the course of events do not emerge from the answer. Due to the large number of incidents, it is not possible for us to obtain further details in each case by inquiring with the responsible investigating authorities (or the responsible public prosecutor's office). We therefore generally have to limit our inquiries to particularly serious incidents, such as bodily injury offenses or arson attacks."
Ein Unbekannter hat am Abend auf dem Kirchplatz einen Asylsuchenden mit einem Messer angegriffen. Er verletzte ihn an den Händen und am Kopf. Der Angreifer konnte in einem Auto fliehen. Das Tatmotiv ist laut Polizei unklar.,"An unknown man attacked an asylum seeker with a knife in the evening on the church square. He injured him on his hands and head. The attacker was able to flee in a car. The motive for the crime is unclear, according to police."
"Aus der Antwort der Bundesregierung auf eine Kleine Anfrage zu Übergriffen auf Asylsuchende und ihre Unterkünfte geht hervor, dass die zuständige Polizeidirektion wegen öffentlicher Aufforderung zu Straftaten ermittelt und diesen Vorfall als “politisch motivierte Kriminalität – rechts” einordnet. Weitere Details zum Tathergang gehen aus der Antwort nicht hervor. Aufgrund der Vielzahl von Vorfällen ist es uns nicht möglich, in jedem Fall durch Nachfragen bei den zuständigen Ermittlungsbehörden (oder der zuständigen Staatsanwaltschaft) weitere Einzelheiten in Erfahrung zu bringen. Wir müssen unsere Nachforschungen deshalb in der Regel auf besonders schwerwiegende Vorfälle beschränken, etwa Körperverletzungsdelikte oder Brandanschläge.","The federal government's answer to a minor inquiry on attacks on asylum seekers and their accommodations reveals that the responsible police department is investigating for public incitement to commit crimes and classifies this incident as ""politically motivated crime - right-wing"". Further details on the course of events do not emerge from the answer. Due to the large number of incidents, it is not possible for us to obtain further details in each case by inquiring with the responsible investigating authorities (or the responsible public prosecutor's office). We therefore generally have to limit our inquiries to particularly serious incidents, such as bodily injury offenses or arson attacks."
"Aus der Antwort der Bundesregierung auf eine Kleine Anfrage zu Übergriffen auf Asylsuchende und ihre Unterkünfte geht hervor, dass die zuständige Polizeidirektion wegen gemeinschädlicher Sachbeschädigung ermittelt und diesen Vorfall als “politisch motivierte Kriminalität – rechts” einordnet. Weitere Details zum Tathergang gehen aus der Antwort nicht hervor. Aufgrund der Vielzahl von Vorfällen ist es uns nicht möglich, in jedem Fall durch Nachfragen bei den zuständigen Ermittlungsbehörden (oder der zuständigen Staatsanwaltschaft) weitere Einzelheiten in Erfahrung zu bringen. Wir müssen unsere Nachforschungen deshalb in der Regel auf besonders schwerwiegende Vorfälle beschränken, etwa Körperverletzungsdelikte oder Brandanschläge.","The federal government's answer to a minor question on attacks on asylum seekers and their accommodations reveals that the responsible police department is investigating the incident for malicious damage to property and classifies it as ""politically motivated crime - right-wing"". The answer does not provide any further details on the course of events. Due to the large number of incidents, it is not possible for us to obtain further details in each case by inquiring with the responsible investigating authorities (or the responsible public prosecutor's office). We therefore generally have to limit our inquiries to particularly serious incidents, such as bodily injury offenses or arson attacks."
"In der Nacht bewarfen Unbekannt mit Pflastersteinen die Wohnung eines Geflüchteten. Dabei zerstörten sie auch eine Fensterscheibe. Ein Freund des Mannes, der zu Gast war, wurde im Schlaf von einem der Steine getroffen und am Bein verletzt. Öffentlich machte den Fall das Netzwerk für demokratische Kultur. Die mutmaßlichen Täter haben laut Angaben des Vereins Aufkleber mit der Aufschrift ""ACAJ"" (""Alle Chemie-Fans sind Juden"") an das demolierte Fenster angebracht. Das Netzwerk vermutet deshalb Neonazis oder Fußball-Hooligans von Lok Leipzig hinter der Tat. Diese waren bereits in der Vergangenheit mit den antisemitischen Aufklebern in Erscheinung getreten. Die Polizeidirektion Leipzig bestätigte den Vorfall gegenüber dem MDR. Da sich die Ermittler zu dem Aufkleber mit der Aufschrift ""ACAJ"" keinen Reim machen konnten und nicht wüssten, wer hinter dem Angriff stecke, werde zunächst wegen Sachbeschädigung ermittelt, sagte eine Sprecherin der Behörde dem MDR.","During the night, unknown persons threw paving stones at the apartment of a refugee. In the process, they also destroyed a window pane. A friend of the man, who was a guest, was hit by one of the stones while sleeping and injured in the leg. The case was made public by the Network for Democratic Culture. According to the association, the suspected perpetrators put stickers with the inscription ""ACAJ"" (""All Chemie fans are Jews"") on the demolished window. The network therefore suspects neo-Nazis or soccer hooligans from Lok Leipzig behind the act. These had already appeared in the past with the anti-Semitic stickers. The Leipzig police department confirmed the incident to MDR. Since the investigators could not make sense of the sticker with the inscription ""ACAJ"" and did not know who was behind the attack, they were initially investigating for damage to property, a spokeswoman for the authority told MDR."
"Aus der Antwort der Bundesregierung auf eine Kleine Anfrage zu Übergriffen auf Asylsuchende und ihre Unterkünfte geht hervor, dass die zuständige Polizeidirektion wegen Landfriedensbruchs ermittelt und diesen Vorfall als “politisch motivierte Kriminalität – rechts” einordnet. Weitere Details zum Tathergang gehen aus der Antwort nicht hervor. Aufgrund der Vielzahl von Vorfällen ist es uns nicht möglich, in jedem Fall durch Nachfragen bei den zuständigen Ermittlungsbehörden (oder der zuständigen Staatsanwaltschaft) weitere Einzelheiten in Erfahrung zu bringen. Wir müssen unsere Nachforschungen deshalb in der Regel auf besonders schwerwiegende Vorfälle beschränken, etwa Körperverletzungsdelikte oder Brandanschläge.","The federal government's answer to a minor inquiry on attacks on asylum seekers and their accommodations reveals that the responsible police department is investigating for breach of the peace and classifies this incident as ""politically motivated crime - right-wing"". Further details on the course of events do not emerge from the answer. Due to the large number of incidents, it is not possible for us to obtain further details in each case by inquiring with the responsible investigating authorities (or the responsible public prosecutor's office). We therefore generally have to limit our inquiries to particularly serious incidents, such as bodily injury offenses or arson attacks."
Unbekannte haben am Abend fünf Scheiben einer Asylunterkunft eingeschlagen. Sie flüchteten unerkannt. Verletzt wurde laut Polizei niemand.,"Unknown persons broke five windows of an asylum center in the evening. They fled unrecognized. According to the police, no one was injured."
"Aus der Antwort der Bundesregierung auf eine Kleine Anfrage geht hervor, dass die zuständige Polizeidirektion wegen Volksverhetzung ermittelt. Der Vorfall wird als “politisch motivierte Kriminalität - rechts” eingeordnet.","The federal government's answer to a minor inquiry reveals that the responsible police department is investigating incitement of the people. The incident is classified as ""politically motivated crime - right-wing""."
"Aus der Antwort der Bundesregierung auf eine Kleine Anfrage zu Übergriffen auf Asylsuchende und ihre Unterkünfte geht hervor, dass die zuständige Polizeidirektion wegen Körperverletzung ermittelt und diesen Vorfall als “politisch motivierte Kriminalität – rechts” einordnet. Wie viele Personen bei dem Vorfall verletzt wurden, ist den Angaben nicht zu entnehmen. Aufgrund der Vielzahl von Vorfällen kann es einige Zeit dauern, bis wir durch Nachfragen bei den zuständigen Ermittlungsbehörden (oder der zuständigen Staatsanwaltschaft) weitere Informationen zu einzelnen Übergriffen nachtragen können","The federal government's answer to a minor inquiry on assaults on asylum seekers and their accommodations reveals that the responsible police department is investigating assaults and classifies this incident as ""politically motivated crime - right-wing"". It is not clear from the information provided how many people were injured in the incident. Due to the large number of incidents, it may take some time before we can provide further information on individual assaults by inquiring with the responsible investigating authorities (or the responsible public prosecutor's office)."
"Vier Männer aus Syrien wurden am Abend von einem Mann beleidigt und mit einer Schreckschusspistole bedroht. Die verständigte Polizei konnte den Tatverdächtigen feststellen. Er soll sich geständig gezeigt haben. Er sprach von einer ""Auseinandersetzung"". Laut Polizei nannte der Tatverdächtige seine Personalien und übergab den Beamten an Ort und Stelle eine Schreckschusspistole, für deren Besitz er eine Erlaubnis hatte. Weiterhin gab er noch ein Taschenmesser heraus.","Four men from Syria were insulted by a man in the evening and threatened with a blank pistol. The police were able to identify the suspect. He is said to have confessed. He spoke of an ""argument"". According to the police, the suspect gave his personal details and handed over a blank pistol, which he had a permit to possess, to the officers on the spot. He also handed over a pocket knife."
"Ein 13-Jähriger aus Syrien wollte am Nachmittag die Weihnachtsfeier in einer Schule besuchen. Auf dem Weg dorthin wurde er von einem Unbekannten angehalten. Dieser fragte den Jungen, was er hier mache. Der Unbekannte griff ihm an den Hals, wobei er auch ein Messer in der Hand hielt. Ein Zeuge kam vorbei und drohte, die Polizei zu rufen. Daraufhin äußerte der Täter, dass das Ganze nur ein Spiel sei, woraufhin der Zeuge wegging. Allerdings ließ der Täter von dem Jungen ab, der Blutergüsse am Hals davon trug.","A 13-year-old from Syria wanted to attend the Christmas party at a school in the afternoon. On his way there, he was stopped by an unknown person. He asked the boy what he was doing here. The unknown man grabbed his neck, also holding a knife. A witness came by and threatened to call the police. Thereupon, the perpetrator expressed that the whole thing was just a game, whereupon the witness walked away. However, the perpetrator let go of the boy, who suffered bruises on his neck."
"Aus der Antwort der Bundesregierung auf eine Kleine Anfrage zu Übergriffen auf Asylsuchende und ihre Unterkünfte geht hervor, dass die zuständige Polizeidirektion wegen Nötigung ermittelt und diesen Vorfall als “politisch motivierte Kriminalität – rechts” einordnet. Weitere Details zum Tathergang gehen aus der Antwort nicht hervor. Aufgrund der Vielzahl von Vorfällen ist es uns nicht möglich, in jedem Fall durch Nachfragen bei den zuständigen Ermittlungsbehörden (oder der zuständigen Staatsanwaltschaft) weitere Einzelheiten in Erfahrung zu bringen. Wir müssen unsere Nachforschungen deshalb in der Regel auf besonders schwerwiegende Vorfälle beschränken, etwa Körperverletzungsdelikte oder Brandanschläge.","The federal government's answer to a minor inquiry on attacks on asylum seekers and their accommodations reveals that the responsible police department is investigating coercion and classifies this incident as ""politically motivated crime - right-wing"". Further details on the course of events do not emerge from the answer. Due to the large number of incidents, it is not possible for us to obtain further details in each case by inquiring with the responsible investigating authorities (or the responsible public prosecutor's office). We therefore generally have to limit our inquiries to particularly serious incidents, such as bodily injury offenses or arson attacks."
"Zwei Männer haben am Abend einen Asylsuchenden vor dessen Unterkunft attackiert. Zunächst beleidigten sie ihn rassistisch. Einer der beiden Männer soll dem Geschädigten dann unvermittelt mit der Faust ins Gesicht geschlagen haben, woraufhin der Asylsuchende zu Boden stürzte. Der zweite Angreifer führte drei Hunde bei sich, die er auf den zu Boden gestürzten Mann hetzte. Dieser erlitt Bissverletzungen an der Hand, konnte sich aber aufrichten und in die Unterkunft fliehen. Die Angreifer entkamen unerkannt.","Two men attacked an asylum seeker in front of his accommodation in the evening. First, they insulted him in a racist manner. One of the two men then allegedly abruptly hit the victim in the face with his fist, whereupon the asylum seeker fell to the ground. The second attacker had three dogs with him, which he set on the man who had fallen to the ground. The man suffered bite wounds to his hand, but was able to get up and flee to the shelter. The attackers escaped unrecognized."
"Aus der Antwort der Bundesregierung auf eine Kleine Anfrage zu Übergriffen auf Asylsuchende und ihre Unterkünfte geht hervor, dass die zuständige Polizeidirektion wegen Volksverhetzung ermittelt, diesen Vorfall jedoch nicht als “politisch motivierte Kriminalität – rechts” einordnet, weshalb wir den Fall hier (vorerst) als Verdachtsfall aufführen.","From the answer of the Federal Government to a small inquiry on attacks on asylum seekers and their accommodations it emerges that the responsible police department investigates for incitement of the people, but does not classify this incident as ""politically motivated crime - right-wing"", which is why we list the case here (for the time being) as a suspicious case."
"Aus der Antwort der Bundesregierung auf eine Kleine Anfrage zu Übergriffen auf Asylsuchende und ihre Unterkünfte geht hervor, dass die zuständige Polizeidirektion wegen gefährlicher Eingriffe in den Straßenverkehr ermittelt und diesen Vorfall als “politisch motivierte Kriminalität – rechts” einordnet. Weitere Details zum Tathergang gehen aus der Antwort nicht hervor. Aufgrund der Vielzahl von Vorfällen ist es uns nicht möglich, in jedem Fall durch Nachfragen bei den zuständigen Ermittlungsbehörden (oder der zuständigen Staatsanwaltschaft) weitere Einzelheiten in Erfahrung zu bringen. Wir müssen unsere Nachforschungen deshalb in der Regel auf besonders schwerwiegende Vorfälle beschränken, etwa Körperverletzungsdelikte oder Brandanschläge.","The federal government's answer to a minor inquiry on attacks on asylum seekers and their accommodations reveals that the responsible police department is investigating dangerous interference with traffic and classifies this incident as ""politically motivated crime - right-wing"". Further details on the course of events do not emerge from the answer. Due to the large number of incidents, it is not possible for us to obtain further details in each case by inquiring with the responsible investigating authorities (or the responsible public prosecutor's office). We therefore generally have to limit our inquiries to particularly serious incidents, such as bodily injury offenses or arson attacks."
"Unbekannte haben in der Nacht rassistische Parolen und Hakenkreuze an die Fassaden eines Supermarkts, eines Sozialkaufhauses und einer Unterkunft für minderjährige Geflüchtete im Stadtteil Neu-Olvenstedt gesprüht.","Unknown persons sprayed racist slogans and swastikas on the facades of a supermarket, a social department store and a shelter for underage refugees in the Neu-Olvenstedt district during the night."
"Aus der Antwort der Bundesregierung auf eine Kleine Anfrage zu Übergriffen auf Asylsuchende und ihre Unterkünfte geht hervor, dass die zuständige Polizeidirektion wegen öffentlicher Aufforderung zu Sstraftaten ermittelt und diesen Vorfall als “politisch motivierte Kriminalität – rechts” einordnet. Weitere Details zum Tathergang gehen aus der Antwort nicht hervor. Aufgrund der Vielzahl von Vorfällen ist es uns nicht möglich, in jedem Fall durch Nachfragen bei den zuständigen Ermittlungsbehörden (oder der zuständigen Staatsanwaltschaft) weitere Einzelheiten in Erfahrung zu bringen. Wir müssen unsere Nachforschungen deshalb in der Regel auf besonders schwerwiegende Vorfälle beschränken, etwa Körperverletzungsdelikte oder Brandanschläge.","The federal government's answer to a minor inquiry on attacks on asylum seekers and their accommodations reveals that the responsible police department is investigating public incitement to commit crimes and classifies this incident as ""politically motivated crime - right-wing"". The answer does not provide any further details on the course of events. Due to the large number of incidents, it is not possible for us to obtain further details in each case by inquiring with the responsible investigating authorities (or the responsible public prosecutor's office). We therefore generally have to limit our inquiries to particularly serious incidents, such as bodily injury offenses or arson attacks."
"Aus der Antwort der Bundesregierung auf eine Kleine Anfrage zu Übergriffen auf Asylsuchende und ihre Unterkünfte geht hervor, dass die zuständige Polizeidirektion wegen Bedorung ermittelt und diesen Vorfall als “politisch motivierte Kriminalität – rechts” einordnet. Weitere Details zum Tathergang gehen aus der Antwort nicht hervor. Aufgrund der Vielzahl von Vorfällen ist es uns nicht möglich, in jedem Fall durch Nachfragen bei den zuständigen Ermittlungsbehörden (oder der zuständigen Staatsanwaltschaft) weitere Einzelheiten in Erfahrung zu bringen. Wir müssen unsere Nachforschungen deshalb in der Regel auf besonders schwerwiegende Vorfälle beschränken, etwa Körperverletzungsdelikte oder Brandanschläge.","The federal government's answer to a minor inquiry on attacks on asylum seekers and their accommodations reveals that the responsible police department is investigating the incident and classifies it as ""politically motivated crime - right-wing"". Further details on the course of events do not emerge from the answer. Due to the large number of incidents, it is not possible for us to obtain further details in each case by inquiring with the responsible investigating authorities (or the responsible public prosecutor's office). We therefore generally have to limit our inquiries to particularly serious incidents, such as bodily injury offenses or arson attacks."
"Ein 20-Jähriger hat am Nachmittag von seiner Wohnung im fünften Stock aus einen Asylsuchenden, der auf der Straße ging, mit Blumentöpfen beworfen. Der Mann wurde nicht getroffen. Anschließend verfolgte der Angreifer den Mann mit einem Hammer. Dabei soll er ""Scheiß Ausländer! Geh zurück in dein Land!"" gerufen haben.
 Zuvor hatte derselbe Tatverdächtige bereits einen weiteren Geflüchteten attackiert. Der polizeibekannte Tatverdächtige wurde festgenommen.","A 20-year-old threw flower pots at an asylum seeker walking on the street from his fifth-floor apartment this afternoon. The man was not hit. Afterwards, the attacker chased the man with a hammer. While doing so, he allegedly shouted ""Shit foreigner! Go back to your country!"" he shouted.
 Earlier, the same suspect had already attacked another fugitive. The suspect, who was known to the police, was arrested."
"Aus der Antwort der Bundesregierung auf eine Kleine Anfrage zu Übergriffen auf Asylsuchende und ihre Unterkünfte geht hervor, dass die zuständige Polizeidirektion wegen Störung des öffentlichen Friedens durch Androhung von Straftaten ermittelt und diesen Vorfall als “politisch motivierte Kriminalität – rechts” einordnet. Aufgrund der Vielzahl von Vorfällen ist es uns nicht möglich, in jedem Fall durch Nachfragen bei den zuständigen Ermittlungsbehörden (oder der zuständigen Staatsanwaltschaft) weitere Einzelheiten in Erfahrung zu bringen. Wir müssen unsere Nachforschungen deshalb in der Regel auf besonders schwerwiegende Vorfälle beschränken, etwa Körperverletzungsdelikte oder Brandanschläge.","From the federal government's answer to a minor inquiry on assaults on asylum seekers and their accommodations, it appears that the responsible police department is investigating for disturbing the public peace by threatening to commit criminal acts and classifies this incident as ""politically motivated crime - right-wing"". Due to the large number of incidents, it is not possible for us to obtain further details in each case by inquiring with the responsible investigating authorities (or the responsible public prosecutor's office). We therefore usually have to limit our inquiries to particularly serious incidents, such as bodily injury offenses or arson attacks."
