address,address_formatted,latitude,longitude
"Kleinmachnow, Brandenburg","14532 Kleinmachnow, Germany",52.4079274,13.2227111
"Erkrath, Nordrhein-Westfalen","40699 Erkrath, Germany",51.2213125,6.9073473
"Billigheim, Baden-Württemberg","74842 Billigheim, Germany",49.3475835,9.2542779
"Witzenhausen, Hessen","Witzenhausen, Germany",51.33996819999999,9.8555643
"Schlüsselfeld, Bayern","96132 Schlüsselfeld, Germany",49.75751330000001,10.6228929
"Beverstedt, Niedersachsen","27616 Beverstedt, Germany",53.43178649999999,8.8211116
"Marienheide, Nordrhein-Westfalen","51709 Marienheide, Germany",51.0833907,7.5311408
"Kuchen, Baden-Württemberg","Kuchen, Germany",48.6390543,9.7992577
"Taucha, Sachsen","Taucha, Germany",51.3798014,12.495054
"Kleinwallstadt, Bayern","Kleinwallstadt, Germany",49.8722681,9.1667763
"Hildburghausen , Thüringen","98646 Hildburghausen, Germany",50.4263293,10.7312097
"Hennigsdorf, Brandenburg","16761 Hennigsdorf, Germany",52.6320478,13.2011404
"Lichtenstein in Sachsen, Sachsen","Lichtenstein, Germany",50.75481689999999,12.6271344
"Bad Blankenburg, Thüringen","Bad Blankenburg, Germany",50.6823516,11.2705981
"Pliezhausen, Baden-Württemberg","72124 Pliezhausen, Germany",48.5618552,9.2020103
"Breisach am Rhein, Baden-Württemberg","79206 Breisach, Germany",48.0348382,7.5836067
"Großröhrsdorf, Sachsen","Großröhrsdorf, Germany",51.1457269,14.0271506
"Schloßholte-Stukenbrock, Nordrhein-Westfalen","Schloß Holte-Stukenbrock, 33758 Schloß Holte-Stukenbrock, Germany",51.88311539999999,8.661740199999999
"Schöningen, Niedersachsen","38364 Schöningen, Germany",52.1394882,10.9661706
"Brandenburg/Havel, Brandenburg","Brandenburg, Germany",52.4125287,12.5316444
"Weil am Rhein, Baden-Württemberg","79576 Weil am Rhein, Germany",47.5934368,7.6198121
"Wolkenstein, Sachsen","Wolkenstein, Germany",50.6558998,13.0703273
"Querfurt, Sachsen-Anhalt","06268 Querfurt, Germany",51.3812676,11.6041294
"Bad Schandau, Sachsen","Bad Schandau, Germany",50.9178255,14.1526727
"Neunburg vorm Wald, Bayern","92431 Neunburg vorm Wald, Germany",49.3453846,12.3833592
"Fürstenzell, Bayern","94081 Fürstenzell, Germany",48.5226292,13.317774
"Brieselang, Brandenburg","Brieselang, Germany",52.5887167,12.993372
"Renningen, Baden-Württemberg","Renningen, Germany",48.7716629,8.9343957
"Kerpen, Nordrhein-Westfalen","Kerpen, Germany",50.8747592,6.6883728
"Bad Bocklet, Bayern","Bad Bocklet, Germany",50.2663171,10.0791174
"Söhre, Niedersachsen","Söhre, 31199 Diekholzen, Germany",52.100823,9.9609857
"Immenstadt, Bayern","Immenstadt, Germany",47.5592213,10.2206641
"Obing, Bayern","83119 Obing, Germany",47.99858649999999,12.4054584
"Brück, Brandenburg","14822 Brück, Germany",52.1866424,12.7611011
"Herrnburg, Mecklenburg-Vorpommern","Herrnburg, 23923 Lüdersdorf, Germany",53.84012629999999,10.7581672
"Reinsdorf, Sachsen","Reinsdorf, Germany",50.69754140000001,12.55455
"Ahlbeck, Mecklenburg-Vorpommern","Ahlbeck, Heringsdorf, Germany",53.9406282,14.1874733
"Otter, Niedersachsen","Otter, Germany",53.2398418,9.7404952
"Oschatz, Sachsen","Oschatz, Germany",51.3006128,13.1059825
"Köpenick, Berlin, Berlin","Köpenick, Berlin, Germany",52.44260689999999,13.5822741
"Hellersdorf, Berlin, Berlin","Hellersdorf, Berlin, Germany",52.53663239999999,13.6049001
"Zossen, Brandenburg","Zossen, Germany",52.21697469999999,13.453792
"Heiligensee, Berlin, Berlin","Heiligensee, Berlin, Germany",52.6126856,13.2317796
"Rudolstadt, Thüringen","07407 Rudolstadt, Germany",50.7182972,11.3336548
"Steinach, Baden-Württemberg","77790 Steinach, Germany",48.3029087,8.0568954
"Dinslaken, Nordrhein-Westfalen","Dinslaken, Germany",51.5674264,6.747534
"Niederstotzingen, Baden-Württemberg","Niederstotzingen, Germany",48.5409435,10.2349893
"Müncheberg, Brandenburg","Müncheberg, Germany",52.5069173,14.1281615
"Friedewald, Rheinland-Pfalz","57520 Friedewald, Germany",50.7113412,7.961217100000001
"Pfeffenhausen, Bayern","84076 Pfeffenhausen, Germany",48.6657008,11.9649321
"Möhnesee, Nordrhein-Westfalen","59519 Möhnesee, Germany",51.47602999999999,8.123169899999999
"Neustadt an der Weinstraße, Rheinland-Pfalz","Neustadt, Germany",49.3501864,8.1486886
"Rabenau, Sachsen","Rabenau, Germany",50.964561,13.6432545
"Eckental, Bayern","Eckental, Germany",49.5741786,11.2013519
"Wetter an der Ruhr, Nordrhein-Westfalen","58300 Wetter, Germany",51.3860225,7.3914998
"Gößnitz, Thüringen","Gößnitz, Germany",50.8903586,12.4310906
"Mainstockheim, Bayern","Mainstockheim, Germany",49.7728863,10.151955
"Gerstungen, Thüringen","99834 Gerstungen, Germany",50.9635794,10.0671708
"Bernhaldswald, Bayern","Bernhardswald, Germany",49.1113181,12.2446439
"Kaunitz, Verl, Nordrhein-Westfalen","Kaunitz, 33415 Verl, Germany",51.8569969,8.5645039
"Eichstätt, Bayern","85072 Eichstätt, Germany",48.8910779,11.185239
"Engen, Baden-Württemberg","78234 Engen, Germany",47.854144,8.7737404
"Homberg, Hessen","34576 Homberg, Germany",51.0314351,9.4127239
"Alfdorf, Baden-Württemberg","73553 Alfdorf, Germany",48.8441943,9.722915799999999
"Heeslingen, Niedersachsen","27404 Heeslingen, Germany",53.317473,9.334387999999999
"Jördenstorf, Mecklenburg-Vorpommern","17168 Jördenstorf, Germany",53.8777467,12.6163264
"Leinefelde, Thüringen","Leinefelde-Worbis, Germany",51.4071434,10.3305838
"Stühlingen, Baden-Württemberg","79780 Stühlingen, Germany",47.74541869999999,8.4455184
"Kürten, Nordrhein-Westfalen","51515 Kürten, Germany",51.0532376,7.2634469
"Rhauderfehn, Niedersachsen","26817 Rhauderfehn, Germany",53.13582299999999,7.5746445
"Lohne, Niedersachsen","49393 Lohne, Germany",52.6505733,8.262597999999999
"Weilheim, Bayern","82362 Weilheim in Oberbayern, Germany",47.84223670000001,11.1427463
"Lauterbach, Hessen","36341 Lauterbach, Germany",50.6334203,9.3960153
"Bad Kleinen, Niedersachsen","Lower Saxony, Germany",52.6367036,9.8450765
"Melsungen, Hessen","34212 Melsungen, Germany",51.1276976,9.549567699999999
"Meiningen, Thüringen","98617 Meiningen, Germany",50.5739121,10.4190128
"Winkelhaid, Bayern","Winkelhaid, Germany",49.388065,11.3025295
"Geseke, Nordrhein-Westfalen","59590 Geseke, Germany",51.6393693,8.5067607
"Kremmen , Brandenburg","Kremmen, Germany",52.7621246,13.0286244
"Lippetal, Nordrhein-Westfalen","59510 Lippetal, Germany",51.6636877,8.1443208
"St. Wendel, Saarland","66606 Sankt Wendel, Germany",49.4677707,7.169062499999999
"Ellrich, Thüringen","Ellrich, Germany",51.5865458,10.6628882
"Timmendorfer Strand, Schleswig-Holstein","23669 Timmendorfer Strand, Germany",53.99206359999999,10.7789388
"Butzbach, Hessen","35510 Butzbach, Germany",50.43503579999999,8.6688418
"Schwäbisch Gmünd, Baden-Württemberg","Schwäbisch Gmünd, Germany",48.7994019,9.8045704
"Heiligenhaus, Nordrhein-Westfalen","Heiligenhaus, Germany",51.3273148,6.965595899999999
"Schloß Holte-Stukenbrock , Nordrhein-Westfalen","33758 Schloß Holte-Stukenbrock, Germany",51.9027288,8.6359771
"Schifferstadt, Rheinland-Pfalz","67105 Schifferstadt, Germany",49.3828647,8.376704799999999
"Dresden-Reick, Sachsen","Reick, Dresden, Germany",51.014621,13.7980605
"Viernheim, Hessen","68519 Viernheim, Germany",49.5412437,8.5784877
"Elmenhorst/Lichtenhagen, Mecklenburg-Vorpommern","Elmenhorst/Lichtenhagen, Germany",54.1556902,12.0119268
"Fraureuth, Sachsen","Fraureuth, Germany",50.7032324,12.3520009
"Sankt Augustin, Nordrhein-Westfalen","53757 Sankt Augustin, Germany",50.7694775,7.187578599999999
"Drolshagen, Nordrhein-Westfalen","57489 Drolshagen, Germany",51.0244556,7.770630199999999
"Eggingen, Baden-Württemberg","79805 Eggingen, Germany",47.6979742,8.393098
"Wohratal, Hessen","35288 Wohratal, Germany",50.9351956,8.946910400000002
"Merkers-Kieselbach, Thüringen","Merkers-Kieselbach, Krayenberggemeinde, Germany",50.818649,10.1203703
"Todtenweis, Bayern","86447 Todtenweis, Germany",48.5176521,10.9283297
"Jettingen-Scheppach, Bayern","Jettingen-Scheppach, Germany",48.3939093,10.4578772
"Beelitz, Brandenburg","14547 Beelitz, Germany",52.23900099999999,12.9700563
"Bismarck, Sachsen-Anhalt","Bismark, Germany",52.662257,11.5246096
"Gera, Thüringen","Gera, Germany",50.8850706,12.0807203
"Bürgel, Thüringen","Bürgel, Germany",50.9425886,11.7573096
"Kehl, Baden-Württemberg","Kehl, Germany",48.5788725,7.8160821
"Bremen, Bremen","Bremen, Germany",53.07929619999999,8.8016937
"Hohenfels, Baden-Württemberg","78355 Hohenfels, Germany",47.8849664,9.1082375
"Deidesheim, Rheinland-Pfalz","Deidesheim, Germany",49.4073438,8.1897316
"Coesfeld, Nordrhein-Westfalen","48653 Coesfeld, Germany",51.9382944,7.1675831
"Kahla, Thüringen","07768 Kahla, Germany",50.800241,11.5837085
"Klütz, Mecklenburg-Vorpommern","Klütz, Germany",53.9654908,11.1645933
"Tannenberg, Sachsen","Tannenberg, Germany",50.6049814,12.9491665
"Krölpa, Thüringen","Krölpa, Germany",50.67732059999999,11.5400021
"Torgelow, Mecklenburg-Vorpommern","Torgelow, Germany",53.6326919,14.0054798
"Dießen, Bayern","86911 Dießen am Ammersee, Germany",47.9479298,11.1032858
"Gotha, Thüringen","99867 Gotha, Germany",50.9474251,10.7097574
"Neckarbischofheim, Baden-Württemberg","74924 Neckarbischofsheim, Germany",49.2938214,8.9649065
"Demmin, Mecklenburg-Vorpommern","Demmin, Germany",53.9056285,13.0498414
"Karlsruhe, Baden-Württemberg","Karlsruhe, Germany",49.0068901,8.4036527
"Herscheid, Nordrhein-Westfalen","58849 Herscheid, Germany",51.17654,7.7480527
"Lienen, Nordrhein-Westfalen","49536 Lienen, Germany",52.1454016,7.9739032
"Dassow, Mecklenburg-Vorpommern","Dassow, Germany",53.90749779999999,10.9757366
"Neuseddin, Brandenburg","Neuseddin, Seddiner See, Germany",52.2826988,12.9761571
"Tengen, Baden-Württemberg","78250 Tengen, Germany",47.8191487,8.6613188
"Sandhausen, Baden-Württemberg","Sandhausen, Germany",49.3433925,8.6578996
"Herzberg am Harz, Niedersachsen","Herzberg am Harz, Germany",51.6514495,10.3379685
"Tribsees, Mecklenburg-Vorpommern","Tribsees, Germany",54.0914157,12.7601838
"Heide, Schleswig-Holstein","25746 Heide, Germany",54.19517639999999,9.1019015
"Adelschlag, Bayern","85111 Adelschlag, Germany",48.8395987,11.2185762
"Holthusen, Mecklenburg-Vorpommern","19075 Holthusen, Germany",53.5437872,11.3541338
"Höxmark, Schleswig-Holstein","Höxmark, 24398 Brodersby, Germany",54.6273857,10.0127041
"Rondorf, Köln, Nordrhein-Westfalen","Rondorf, 50997 Cologne, Germany",50.87439089999999,6.9346054
"Metten, Bayern","Metten, Germany",48.8562976,12.9132001
"Woltersdorf, Brandenburg","Woltersdorf, Germany",52.4551812,13.7493557
"Altlußheim, Baden-Württemberg","Altlußheim, Germany",49.2984042,8.5029595
"Spiegelberg, Baden-Württemberg","71579 Spiegelberg, Germany",49.0375029,9.4471366
"Nürnberg, Bayern","Nuremberg, Germany",49.4521018,11.0766654
"Dahlem, Berlin, Berlin","Dahlem, Berlin, Germany",52.4582353,13.2870827
"Greven-Reckenfeld, Nordrhein-Westfalen","Reckenfeld, 48268 Greven, Germany",52.1327644,7.5560974
"Remchingen, Baden-Württemberg","75196 Remchingen, Germany",48.9517157,8.5742128
"Obermaßfeld-Grimmenthal, Thüringen","98617 Obermaßfeld-Grimmenthal, Germany",50.5309232,10.4460898
"Immendingen, Baden-Württemberg","78194 Immendingen, Germany",47.9383007,8.734745199999999
"Bad Freienwalde, Brandenburg","Bad Freienwalde, Germany",52.78291609999999,14.0385706
"Urmitz, Rheinland-Pfalz","Urmitz, Germany",50.4137135,7.5209708
"Grimmen, Mecklenburg-Vorpommern","Grimmen, Germany",54.10814569999999,13.0377493
"Winsen (Luhe), Niedersachsen","21423 Winsen, Germany",53.3574436,10.2127204
"Hückeswagen, Nordrhein-Westfalen","42499 Hückeswagen, Germany",51.1490386,7.3293896
"Recklinghausen, Nordrhein-Westfalen","Recklinghausen, Germany",51.6117809,7.197388500000001
"Borchen, Nordrhein-Westfalen","33178 Borchen, Germany",51.6659316,8.7276375
"Geeste, Niedersachsen","49744 Geeste, Germany",52.6017948,7.2717158
"Hoppegarten, Brandenburg","15366 Hoppegarten, Germany",52.5145302,13.6741027
"Preetz, Schleswig-Holstein","24211 Preetz, Germany",54.232759,10.2782723
"Rheinfelden, Baden-Württemberg","79618 Rheinfelden, Germany",47.5896468,7.768778999999999
"Konradshöhe, Berlin, Berlin","Konradshöhe, Berlin, Germany",52.5837946,13.2267747
"Rockenhausen, Rheinland-Pfalz","67806 Rockenhausen, Germany",49.6311747,7.821553499999999
"Seelscheid, Nordrhein-Westfalen","Seelscheid, 53819 Neunkirchen-Seelscheid, Germany",50.8755039,7.3222836
"Lindenberg, Rheinland-Pfalz","Lindenberg, Germany",49.3813067,8.0962406
"Legde/Quitzöbel, Brandenburg","Legde/Quitzöbel, Germany",52.9179361,11.9634972
"Altlandsberg, Brandenburg","15345 Altlandsberg, Germany",52.5641091,13.7269051
"Neustadt an der Dosse, Brandenburg","Neustadt, Germany",52.8583917,12.4342718
"Sonnefeld, Bayern","96242 Sonnefeld, Germany",50.2220521,11.1329153
"Annabger-Buchholz, Sachsen","Annaberg-Buchholz, Germany",50.5851268,13.0149313
"Kelheim, Bayern","93309 Kelheim, Germany",48.9175771,11.8931689
"Sangershausen, Sachsen-Anhalt","Sangerhausen, Germany",51.54407519999999,11.2592293
"Tann in der Röhn, Hessen","36142 Tann, Germany",50.64475909999999,10.0089235
"Winnenden, Baden-Württemberg","71364 Winnenden, Germany",48.8750046,9.397142299999999
"Bad Hersfeld, Hessen","36251 Bad Hersfeld, Germany",50.8701345,9.7019675
"Helmstadt, Niedersachsen","38350 Helmstedt, Germany",52.2448398,11.0393101
"Bochum, Nordrhein-Westfalen","Bochum, Germany",51.4818445,7.216236299999999
"Neuruppin, Brandenburg","Neuruppin, Germany",52.9211097,12.8002556
"Bückeburg, Niedersachsen","31675 Bückeburg, Germany",52.2592762,9.052123300000002
"Frauenstein, Sachsen","Frauenstein, Germany",50.8012443,13.5372311
"Cloppenburg, Niedersachsen","49661 Cloppenburg, Germany",52.844198,8.053015799999999
"Amberg, Bayern","92224 Amberg, Germany",49.4403198,11.8633445
"Westerau, Schleswig-Holstein","23847 Westerau, Germany",53.77882899999999,10.4887842
"Überlingen, Baden-Württemberg","Überlingen, Germany",47.7661746,9.1702772
"Tübingen, Baden-Württemberg","Tübingen, Germany",48.5216364,9.0576448
"Meschede, Nordrhein-Westfalen","59872 Meschede, Germany",51.3511245,8.2851304
"Berlin-Hellersdorf, Berlin","Hellersdorf, Berlin, Germany",52.53663239999999,13.6049001
"Bergen, Bayern","83346 Bergen, Germany",47.8069947,12.590074
"Gröbenzell, Bayern","Gröbenzell, Germany",48.1932834,11.3752077
"Haßfurt, Bayern","97437 Haßfurt, Germany",50.0371575,10.5151523
"Zehdenick , Brandenburg","Zehdenick, Germany",52.9791731,13.3378948
"St. Ingbert, Saarland","66386 Sankt Ingbert, Germany",49.2774456,7.1118995
"Langenweddingen, Sachsen-Anhalt","Langenweddingen, 39171 Sülzetal, Germany",52.0351654,11.5268576
"Rhede, Nordrhein-Westfalen","46414 Rhede, Germany",51.8374545,6.6989532
"Amelinghausen, Niedersachsen","21385 Amelinghausen, Germany",53.1250632,10.2124198
"Bleicherode, Thüringen","Bleicherode, Germany",51.442105,10.5723532
"Hollern-Twielenfleth, Niedersachsen","Hollern-Twielenfleth, Germany",53.5921014,9.5505852
"Dillenburg, Hessen","Dillenburg, Germany",50.7452841,8.2807631
"Leimen, Baden-Württemberg","Leimen, Germany",49.34908979999999,8.687885099999999
"Nister, Rheinland-Pfalz","Nister, Germany",50.6755486,7.834872000000001
"Berlin-Mahlsdorf, Berlin","Mahlsdorf, 12623 Berlin, Germany",52.5048282,13.613407
"Olbernhau, Sachsen","Olbernhau, Germany",50.6588625,13.3383108
"Helbra, Sachsen-Anhalt","Helbra, Germany",51.5547945,11.4876165
"Teterow, Mecklenburg-Vorpommern","17166 Teterow, Germany",53.77524760000001,12.5748239
"Eisenberg (Pfalz), Rheinland-Pfalz","Eisenberg, Germany",49.5584321,8.065154600000001
"Pentling, Bayern","Pentling, Germany",48.9833268,12.0572285
"Feucht, Bayern","Feucht, Germany",49.3753539,11.2129142
"Weferlingen, Sachsen-Anhalt","39356 Weferlingen, Germany",52.3137073,11.0564429
"Neuhaus am Rennweg, Thüringen","Neuhaus am Rennweg, Germany",50.505899,11.1422983
"Warstade, Hemmoor, Niedersachsen","Warstade, 21745 Hemmoor, Germany",53.6887772,9.151847799999999
"Remscheid, Nordrhein-Westfalen","Remscheid, Germany",51.1787418,7.189696199999998
"Neumarkt in der Oberpfalz, Bayern","92318 Neumarkt in der Oberpfalz, Germany",49.2772606,11.4671996
"Rheine, Nordrhein-Westfalen","Rheine, Germany",52.2815691,7.443409200000001
"Dietramszell, Bayern","83623 Dietramszell, Germany",47.8545552,11.5888081
"Schulzendorf bei Eichenwalde, Brandenburg","Eichwalde, Germany",52.3738025,13.6237791
"Belm, Niedersachsen","49191 Belm, Germany",52.3043231,8.1284532
"Potsdam , Brandenburg","Potsdam, Germany",52.3905689,13.0644729
"Wernau am Neckar, Baden-Württemberg","Wernau, Germany",48.6914602,9.417933999999999
"Breitenworbis, Thüringen","37339 Breitenworbis, Germany",51.4128961,10.4268396
"Blankenburg, Berlin, Berlin","Blankenburg, Berlin, Germany",52.5943985,13.4547504
"Pankow, Berlin, Berlin","Pankow, Berlin, Germany",52.5928787,13.4317001
"Prangendorf, Mecklenburg-Vorpommern","Prangendorf, 18195 Cammin, Germany",54.0138422,12.3961772
"Forst Lausitz, Brandenburg","03149 Forst, Germany",51.7445739,14.6451394
"Aletshausen, Bayern","Aletshausen, Germany",48.197165,10.3895576
"Gaienhofen, Baden-Württemberg","78343 Gaienhofen, Germany",47.6822682,8.981919099999999
"Holzheim, Bayern","86684 Holzheim, Germany",48.6135844,10.9530363
"Kremmen, Brandenburg","Kremmen, Germany",52.7621246,13.0286244
"Staßfurt, Sachsen-Anhalt","Staßfurt, Germany",51.8608995,11.5790389
"Hannover, Niedersachsen","Hanover, Germany",52.3758916,9.732010400000002
"Kollmar, Schleswig-Holstein","25377 Kollmar, Germany",53.7300996,9.4932496
"Feldkirchen-Westerham, Bayern","83620 Feldkirchen-Westerham, Germany",47.9140623,11.8638687
"Friesoythe, Niedersachsen","26169 Friesoythe, Germany",53.0244916,7.8589508
"Kollnburg, Bayern","94262 Kollnburg, Germany",49.0474541,12.8590465
"Schöppenstedt, Niedersachsen","38170 Schöppenstedt, Germany",52.1454884,10.7760475
"Neuwied, Rheinland-Pfalz","Neuwied, Germany",50.4361866,7.4664546
"Altötting, Bayern","Altötting, Germany",48.2236975,12.6799462
"Ottendorf-Okrilla, Sachsen","Ottendorf-Okrilla, Germany",51.1831331,13.8321542
"Bohnsdorf, Berlin","Bohnsdorf, Berlin, Germany",52.39900069999999,13.5706371
"Mehrhoog, Hamminkeln, Nordrhein-Westfalen","Mehrhoog, 46499 Hamminkeln, Germany",51.7372525,6.5043921
